Kurskod,Kursnamn,Poäng,Ämne
"ADIADM51","Administration 1","100","Administration"
"ADIADM52","Administration 2","100","Administration"
"ADIADM53","Administration 3","100","Administration"
"ADMADM00S","Administration – specialisering","100","Administration"
"ADMADM01","Administration 1","100","Administration"
"ADMADM02","Administration 2","100","Administration"
"ADMI1000X","Nivå 1","100","Administration"
"ADMI2000X","Nivå 2","100","Administration"
"ADMN1N0","Nivå 1","100","Administration"
"ADMN2N0","Nivå 2","100","Administration"
"ADMPER0","Personaladministration","100","Administration"
"ADMREC0","Receptions- och konferensservice","100","Administration"
"AFFA1000X","Nivå 1","100","Affärskommunikation"
"AFFAFÄ00S","Affärskommunikation","100","Affärskommunikation"
"AKRO1000X","Nivå 1","100","Akrobatik"
"AKRO2000X","Nivå 2","100","Akrobatik"
"AKRO3000X","Nivå 3","100","Akrobatik"
"AKTAKT0","Aktiviteter och upplevelser","100","Aktiviteter och värdskap"
"AKTBEO0","Besöksnäringen","100","Aktiviteter och värdskap"
"AKTGUI0","Guide och reseledare","100","Aktiviteter och värdskap"
"AKTI1000X","Nivå 1","100","Aktiviteter och upplevelser"
"AKTI2000X","Nivå 2","100","Aktiviteter och upplevelser"
"AKTTUR0","Turistbyråservice","100","Aktiviteter och värdskap"
"AKTV1000X","Nivå 1","100","Aktivitetsledarskap"
"AKTVAR0","Värdskap på resmålet","100","Aktiviteter och värdskap"
"AKUT1000X","Nivå 1","100","Akut omhändertagande"
"ALLM1000X","Nivå 1","100","Allmän järnvägsteknik"
"ANAANA01","Anläggningsförare 1","200","Anläggningsförare"
"ANAANA02","Anläggningsförare 2","200","Anläggningsförare"
"ANAANA03","Anläggningsförare 3","200","Anläggningsförare"
"ANAANA04","Anläggningsförare 4","200","Anläggningsförare"
"ANAANL0","Anläggningsförare – process","100","Anläggningsförare"
"ANAT1A10X","Nivå 1a1","50","Anatomi och fysiologi"
"ANAT1A20X","Nivå 1a2","50","Anatomi och fysiologi"
"ANAT1B00X","Nivå 1b","100","Anatomi och fysiologi"
"ANIA1N0","Nivå 1","100","Animation"
"ANIANI00S","Animation – specialisering","100","Animation"
"ANIANI01","Animation 1","100","Animation"
"ANIANI02","Animation 2","100","Animation"
"ANIM1000X","Nivå 1","100","Animation"
"ANIM2000X","Nivå 2","100","Animation"
"ANIM3000X","Nivå 3","100","Animation"
"ANLA1000X","Nivå 1","150","Anläggning"
"ANLA2000X","Nivå 2","150","Anläggning"
"ANLA3000X","Nivå 3","200","Anläggning"
"ANLANG0","Anläggning – stensättning","100","Anläggning"
"ANLANL0","Anläggning – gröna ytor","200","Anläggning"
"ANLANL01","Anläggning 1","100","Anläggning"
"ANLANL02","Anläggning 2","200","Anläggning"
"ANLANN0","Anläggning – vägbyggnad","100","Anläggning"
"ANLANS0","Anläggningsprocessen","200","Anläggning"
"ANLANÄ0","Anläggning – ledningsbyggnad","200","Anläggning"
"ANLG1000X","Nivå 1","150","Anläggningsförare"
"ANLG2000X","Nivå 2","150","Anläggningsförare"
"ANLN1000X","Nivå 1","100","Anläggningsmaskinsteknik"
"ANOANA01","Anatomi och fysiologi 1","50","Anatomi och fysiologi"
"ANOANA02","Anatomi och fysiologi 2","50","Anatomi och fysiologi"
"ARBT1N0","Nivå 1","100","Arbetslivets villkor"
"ARKARI0","Arkitektur – rum","100","Arkitektur"
"ARKARK0","Arkitektur – hus","100","Arkitektur"
"ARKI1000X","Nivå 1","100","Arkitektur"
"ARKI2000X","Nivå 2","100","Arkitektur"
"ARTART01","Artificiell intelligens 1","100","Artificiell intelligens"
